uuid,predicted_label,final_score,actual_type
0005c47ed182eccb3351a9cf79557057cc390ad5,FAKE,0.402,bs
0072665dfdd53b2cc88858040e08fa4fe1be8afc,REAL,0.960,bs
009b43f8247f3ab4e5544c893ba743dabb1d380e,FAKE,0.642,bs
00e423031b1f7c0c17cf0a1931f9c579916a18b3,FAKE,0.602,bs
01441caeb45105c26fcbe184e4fec4c14693b4c6,FAKE,0.122,bs
0167c57bb1633e4f28cbd9d3037249f51c25be5c,REAL,0.700,bs
01cfb81f0fc34eb0fa1a11c84f41cd1264f39c69,FAKE,0.242,bs
020dd1a987c7d843b00ab63c9002fd3236baa76f,FAKE,0.082,bs
0222f6e32ec4db3566b951b418861923f884da7f,FAKE,0.242,hate
026520baa2fee5c05689f0617265ff13d4030091,FAKE,0.560,bs
02d3917e80b010d36b56c540627eb256ad95c069,FAKE,0.522,bs
02e4ec318fb491e05ed442be5c12af8f221b2caf,FAKE,0.122,bs
035fa202bce71a2ca50abf9d05840eac6aece403,FAKE,0.122,bs
03efecc76b59e2bb783f5321a319f9bfd93ce2f0,FAKE,0.260,conspiracy
0457746a16bf1e39f178ae20fa2a6e517e2bca26,FAKE,0.220,conspiracy
046ba5c5e67ace2bea6f4c1d36c42915a46464fd,FAKE,0.220,bs
05085ff1819b370473b70438cb47712a0de50cd2,FAKE,0.442,hate
054368a77697b50844112365642e3365729f6148,FAKE,0.362,bias
05b55845303fb403bbff19ea7a8e7e053a5376ab,FAKE,0.522,bs
075ce205bd725f4ec5d3a8e86d43fdfb01dea185,FAKE,0.562,bs
07d540c545b64717b7310caf94beb2c17d984f09,FAKE,0.180,conspiracy
082fa084ad90e3050f9d628e920f2d142cb69b9a,FAKE,0.402,bs
08373ff248f3e96fc91e1118aedb0b5570b597ac,FAKE,0.442,bs
086947f17d5ffaf60ad9fe79e78393806b808c7f,FAKE,0.340,bs
088ddf580942133f16728aa4773e94bcc26bcfc0,FAKE,0.442,bs
096858c81b7e65acb92a0070dc7c37ac70c49a44,FAKE,0.242,conspiracy
09712b8e5796b613b937b1d227fce70cf47c24b0,FAKE,0.362,bs
09f1ce44f5456eddcc21f9a23557b6711ae4faaf,FAKE,0.522,bs
